id:ID,name,厂商,级别,能源类型,环保标准,上市时间,最大功率(kW),发动机,变速箱,车身结构,最高车速(km/h),工信部综合油耗(L/100km),整车质保
727,基本参数,上汽大通,中大型MPV,氢燃料,-,2020.09,150.0,氢燃料 204马力,电动车单速变速箱,MPV,-,-,待查
728,基本参数,上汽大通,中大型MPV,柴油,国VI,2020.05,120.0,2.0T 163马力 L4,6挡手动,MPV,190,7.6,三年或6万公里
729,基本参数,上汽大通,中型SUV,汽油,国VI,2019.08,124.0,1.5T 169马力 L4,7挡双离合,SUV,-,7.2,三年或6万公里
730,基本参数,上汽大通,中型SUV,汽油,国VI,2019.08,124.0,1.5T 169马力 L4,7挡双离合,SUV,-,7.2,三年或6万公里
731,基本参数,上汽大通,轻客,柴油,国VI,2020.12,102.0,2.0T 139马力 L4,6挡手动,客车,-,-,-
732,基本参数,上汽大通,皮卡,柴油,国VI,2019.06,120.0,2.0T 163马力 L4,6挡自动,皮卡,-,-,-
733,基本参数,上汽大通,皮卡,柴油,国VI,2020.03,120.0,2.0T 163马力 L4,6挡自动,皮卡,-,-,-
734,基本参数,,,,,,,,,,,,
735,基本参数,上汽大通,皮卡,纯电动,,2020.12,130.0,,,皮卡,-,,三年或8万公里
736,基本参数,上汽大通,紧凑型MPV,纯电动,,2020.09,130.0,,,MPV,170,,三年或8万公里
737,基本参数,上汽大通,轻客,柴油,国VI,2020.12,102.0,2.0T 139马力 L4,6挡AMT,客车,-,-,-
738,基本参数,上汽大通,皮卡,汽油,国V,2017.11,165.0,2.0T 224马力 L4,6挡自动,皮卡,-,-,-
739,基本参数,上汽大通,皮卡,柴油,国VI,2020.03,120.0,2.0T 163马力 L4,6挡手动,皮卡,-,-,三年或6万公里
740,基本参数,上汽大通,皮卡,汽油,国VI,2020.03,157.0,2.0T 214马力 L4,8挡自动,皮卡,-,-,三年或6万公里
741,基本参数,上汽大通,皮卡,柴油,国V,2019.09,110.0,2.8T 150马力 L4,6挡手动,皮卡,-,-,-
742,基本参数,上汽大通,皮卡,柴油,国VI,2020.05,120.0,2.0T 163马力 L4,6挡自动,皮卡,-,-,三年或6万公里
743,基本参数,上汽大通,中型SUV,汽油,国VI,2019.08,120.0,1.3T 163马力 L3,6挡手动,SUV,-,7.5,三年或6万公里
744,基本参数,上汽大通,轻客,汽油,国IV,2013.08,96.0,2.3L 130马力 L4,5挡手动,客车,155,-,两年或五万公里
745,基本参数,,,,,,,,,,,,
746,基本参数,上汽大通,轻客,柴油,国V,2019.09,100.0,2.5T 136马力 L4,6挡手动,客车,-,-,-
747,基本参数,上汽大通,轻客,柴油,国V,2019.09,100.0,2.5T 136马力 L4,6挡手动,货车,-,-,-
748,基本参数,上汽大通,轻客,柴油,国V,2019.09,100.0,2.5T 136马力 L4,6挡手动,客车,-,-,-
749,基本参数,上汽大通,中型SUV,汽油,国VI,2019.08,124.0,1.5T 169马力 L4,7挡双离合,SUV,-,7.2,三年或6万公里
750,基本参数,上汽大通,皮卡,汽油,国V,2017.11,105.0,2.4L 143马力 L4,5挡手动,皮卡,-,-,-
751,基本参数,上汽大通,轻客,柴油,国V,2019.09,100.0,2.5T 136马力 L4,6挡手动,客车,-,-,-
752,基本参数,,,,,,,,,,,,
753,基本参数,,,,,,,,,,,,
754,基本参数,上汽大通,紧凑型MPV,汽油,国VI,2020.07,120.0,1.3T 163马力 L3,6挡手动,MPV,-,7.5,三年或6万公里
755,基本参数,,,,,,,,,,,,
756,基本参数,上汽大通,皮卡,柴油,国VI,2020.03,120.0,2.0T 163马力 L4,6挡手动,皮卡,-,-,三年或6万公里
757,基本参数,,,,,,,,,,,,
758,基本参数,上汽大通,轻客,纯电动,,2020.08,150.0,,,货车,100,,-
759,基本参数,上汽大通,轻客,柴油,国VI,2020.12,102.0,2.0T 139马力 L4,6挡手动,客车,-,-,-
760,基本参数,上汽大通,中大型SUV,汽油,国V,2019.06,165.0,2.0T 224马力 L4,6挡手自一体,SUV,175,9.8,待查
761,基本参数,上汽大通,中大型SUV,汽油,国V,2017.08,165.0,2.0T 224马力 L4,6挡手动,SUV,185,8.9,待查
762,基本参数,,,,,,,,,,,,
763,基本参数,上汽大通,轻客,柴油,国VI,2020.12,102.0,2.0T 139马力 L4,6挡AMT,客车,-,-,-
764,基本参数,上汽大通,轻客,柴油,国V,2019.09,100.0,2.5T 136马力 L4,6挡手动,客车,-,-,-
765,基本参数,,,,,,,,,,,,
766,基本参数,上汽大通,微面,纯电动,,2019.01,70.0,,,货车,90,,-
767,基本参数,上汽大通,皮卡,柴油,国V,2016.12,110.0,2.8T 150马力 L4,6挡手动,皮卡,-,-,-
768,基本参数,上汽大通,轻客,柴油,国V,2019.09,100.0,2.5T 136马力 L4,6挡手动,客车,-,-,-
769,基本参数,上汽大通,轻客,柴油,国V,2019.09,100.0,2.5T 136马力 L4,6挡手动,客车,-,-,-
770,基本参数,上汽大通,轻客,柴油,国VI,2020.08,109.0,2.0T 148马力 L4,6挡AMT,客车,150,-,-
771,基本参数,上汽大通,中大型SUV,汽油,国VI,2020.04,160.0,2.0T 218马力 L4,8挡手自一体,SUV,185,9.8,三年或10万公里
772,基本参数,上汽大通,轻客,柴油,国VI,2019.07,109.0,2.0T 148马力 L4,6挡自动,客车,150,-,-
773,基本参数,上汽大通,轻客,柴油,国VI,2019.07,109.0,2.0T 148马力 L4,6挡AMT,客车,150,-,-
774,基本参数,上汽大通,中大型SUV,汽油,国V,2019.06,165.0,2.0T 224马力 L4,6挡手动,SUV,185,8.9,待查
775,基本参数,,,,,,,,,,,,
776,基本参数,上汽大通,轻客,柴油,国V,2019.09,100.0,2.5T 136马力 L4,6挡手动,货车,-,-,-
777,基本参数,上汽大通,轻客,汽油,国IV,2013.08,114.0,1.8T 155马力 L4,5挡手动,客车,155,-,两年或五万公里
778,基本参数,上汽大通,皮卡,汽油,国VI,2020.09,157.0,2.0T 214马力 L4,8挡自动,皮卡,-,-,三年或6万公里
