id:ID,name
0,上汽大通MAXUS EG10
1,伊思坦纳 (停售)
2,上汽大通MAXUS G20
3,上汽大通MAXUS EUNIQ 6
4,上汽大通MAXUS EUNIQ 7
5,上汽大通MAXUS T60
6,上汽大通MAXUS V80新能源
7,上汽大通MAXUS EUNIQ 5
8,上汽大通MAXUS RG20
9,上汽大通MAXUS RV80
10,上汽大通MAXUS D90 Pro
11,上汽大通MAXUS G50
12,上汽大通MAXUS T70
13,上汽大通MAXUS RV90
14,上汽大通MAXUS D60
15,上汽大通MAXUS EV30
16,上汽大通MAXUS RG10 (停售)
17,上汽大通MAXUS V80
18,上汽大通MAXUS V90
19,上汽大通MAXUS EV90
20,上汽大通MAXUS D90 (停售)
21,上汽大通MAXUS G10
22,上汽大通MAXUS T70新能源
