id:ID,name,简称,变速箱类型
1642,变速箱,,手动变速箱(MT)
1643,变速箱,,手动变速箱(MT)
1644,变速箱,,自动变速箱(AT)
1645,变速箱,,
1646,变速箱,,自动变速箱(AT)
1647,变速箱,,自动变速箱(AT)
1648,变速箱,,手动变速箱(MT)
1649,变速箱,,机械式自动变速箱(AMT)
1650,变速箱,,自动变速箱(AT)
1651,变速箱,,手动变速箱(MT)
1652,变速箱,,自动变速箱(AT)
1653,变速箱,,自动变速箱(AT)
1654,变速箱,,手动变速箱(MT)
1655,变速箱,8挡手自一体,
1656,变速箱,,手动变速箱(MT)
1657,变速箱,,手动变速箱(MT)
1658,变速箱,,手动变速箱(MT)
1659,变速箱,,
1660,变速箱,,固定齿比变速箱
1661,变速箱,,自动变速箱(AT)
1662,变速箱,,手动变速箱(MT)
1663,变速箱,电动车单速变速箱,
1664,变速箱,,固定齿比变速箱
1665,变速箱,8挡手自一体,
1666,变速箱,8挡手自一体,
1667,变速箱,7挡双离合,
1668,变速箱,,自动变速箱(AT)
1669,变速箱,6挡手自一体,
1670,变速箱,,手动变速箱(MT)
1671,变速箱,,手动变速箱(MT)
1672,变速箱,,手动变速箱(MT)
1673,变速箱,,自动变速箱(AT)
1674,变速箱,,自动变速箱(AT)
1675,变速箱,7挡双离合,
1676,变速箱,,机械式自动变速箱(AMT)
1677,变速箱,,手动变速箱(MT)
1678,变速箱,7挡双离合,
1679,变速箱,,手动变速箱(MT)
1680,变速箱,,固定齿比变速箱
1681,变速箱,8挡手自一体,
1682,变速箱,,手动变速箱(MT)
1683,变速箱,,机械式自动变速箱(AMT)
1684,变速箱,,自动变速箱(AT)
1685,变速箱,,自动变速箱(AT)
1686,变速箱,,手动变速箱(MT)
1687,变速箱,,
1688,变速箱,,自动变速箱(AT)
1689,变速箱,6挡手动,
1690,变速箱,,自动变速箱(AT)
1691,变速箱,电动车单速变速箱,
1692,变速箱,6挡手动,
1693,变速箱,7挡双离合,
1694,变速箱,7挡双离合,
1695,变速箱,,手动变速箱(MT)
1696,变速箱,,自动变速箱(AT)
1697,变速箱,,自动变速箱(AT)
1698,变速箱,,
1699,变速箱,,固定齿比变速箱
1700,变速箱,电动车单速变速箱,
1701,变速箱,,机械式自动变速箱(AMT)
1702,变速箱,,自动变速箱(AT)
1703,变速箱,,手动变速箱(MT)
1704,变速箱,,自动变速箱(AT)
1705,变速箱,,手动变速箱(MT)
1706,变速箱,,自动变速箱(AT)
1707,变速箱,6挡手动,
1708,变速箱,,手动变速箱(MT)
1709,变速箱,,
1710,变速箱,,手动变速箱(MT)
1711,变速箱,,手动变速箱(MT)
1712,变速箱,,手动变速箱(MT)
