id:ID,name
0,上汽大通MAXUS D90 Pro
1,上汽大通MAXUS EUNIQ 7
2,上汽大通MAXUS RG10 (停售)
3,上汽大通MAXUS G50
4,上汽大通MAXUS G10
5,上汽大通MAXUS V90
6,上汽大通MAXUS EV90
7,上汽大通MAXUS EG10
8,伊思坦纳 (停售)
9,上汽大通MAXUS T60
10,上汽大通MAXUS D60
11,上汽大通MAXUS RV90
12,上汽大通MAXUS RG20
13,上汽大通MAXUS V80
14,上汽大通MAXUS EUNIQ 6
15,上汽大通MAXUS V80新能源
16,上汽大通MAXUS T70
17,上汽大通MAXUS D90 (停售)
18,上汽大通MAXUS EV30
19,上汽大通MAXUS T70新能源
20,上汽大通MAXUS EUNIQ 5
21,上汽大通MAXUS G20
22,上汽大通MAXUS RV80
