id:ID,name,高度(mm),轴距(mm),前轮距(mm),后轮距(mm),最小离地间隙(mm),整备质量(kg),车身结构,车门数(个),座位数(个),后排车门开启方式,油箱容积(L),货箱尺寸(mm)
1408,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,7,,75,
1409,车身,2105.0,2455.0,-,-,-,-,客车,4.0,10-12,侧滑门,-,-
1410,车身,2345.0,3100.0,-,-,-,-,客车,5.0,9,-,80,-
1411,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1412,车身,2345.0,3100.0,-,-,-,-,客车,5.0,9,-,80,-
1413,车身,2105.0,2455.0,-,-,-,-,客车,4.0,9,侧滑门,-,-
1414,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1415,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1416,车身,2345.0,3850.0,-,-,-,-,客车,5.0,7,侧滑门,80,-
1417,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1418,车身,2577.0,4175.0,-,-,-,-,客车,4.0,17,-,80,-
1419,车身,2520.0,3760.0,-,-,-,-,客车,5.0,7,侧滑门,80,-
1420,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1421,车身,2735.0,3760.0,-,-,-,-,客车,5.0,7,侧滑门,80,-
1422,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1423,车身,2525.0,3760.0,-,-,-,-,客车,5.0,15,侧滑门,80,-
1424,车身,,,,,,,,,,,,
1425,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1426,车身,,,,,,,,,,,,
1427,车身,,,,,,,,,,,,
1428,车身,,,,,,,,,,,,
1429,车身,2365.0,3000.0,-,-,-,-,客车,5.0,6,侧滑门,80,-
1430,车身,,,,,,,,,,,,
1431,车身,1928.0,3198.0,-,-,-,-,MPV,4.0,7,,-,
1432,车身,2535.0,3000.0,-,-,-,-,客车,5.0,6,侧滑门,80,-
1433,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1434,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1435,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1436,车身,2525.0,3760.0,-,-,-,-,客车,5.0,9,侧滑门,80,-
1437,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1438,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,5,,50,
1439,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,7,,50,
1440,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1441,车身,2545.0,3366.0,-,-,-,-,客车,5.0,9,侧滑门,80,-
1442,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1443,车身,,,,,,,,,,,,
1444,车身,2105.0,2680.0,-,-,-,-,客车,4.0,12,侧滑门,-,-
1445,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1446,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1447,车身,2577.0,4175.0,-,-,-,-,客车,4.0,17/18,-,80,-
1448,车身,2552.0,3850.0,-,-,-,-,客车,5.0,10,侧滑门,80,-
1449,车身,2070.0,3100.0,-,-,-,-,客车,5.0,7/8/9,侧滑门,80,-
1450,车身,2577.0,4175.0,-,-,-,-,客车,5.0,17/18,-,80,-
1451,车身,2345.0,3850.0,-,-,-,-,货车,4.0,2/3,侧滑门,80,-
1452,车身,2740.0,3760.0,-,-,-,-,客车,5.0,9,侧滑门,80,-
1453,车身,,,,,,,,,,,,
1454,车身,1722.0,3470.0,-,-,185,-,皮卡,4.0,5,平开门,-,1800x1510x530
1455,车身,,,,,,,,,,,,
1456,车身,,,,,,,,,,,,
1457,车身,,,,,,,,,,,,
1458,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,7,,50,
1459,车身,2345.0,3850.0,-,-,-,-,客车,5.0,6/7/8/9,侧滑门,80,-
1460,车身,2105.0,2455.0,-,-,-,-,客车,4.0,12/15,侧滑门,-,-
1461,车身,1845.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1462,车身,1910.0,3285.0,1548,1553,145,1500,货车,4.0,2,侧滑门,-,-
1463,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1464,车身,2555.0,3366.0,-,-,-,-,货车,5.0,3,侧滑门,80,-
1465,车身,2105.0,2455.0,-,-,-,-,客车,4.0,9,侧滑门,-,-
1466,车身,2345.0,3850.0,-,-,-,-,货车,4.0,2/3,-,80,-
1467,车身,2574.0,3850.0,1734,1728,200,2440,客车,4.0,2-3,侧滑门,-,-
1468,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
