id:ID,name,高度(mm),轴距(mm),前轮距(mm),后轮距(mm),最小离地间隙(mm),整备质量(kg),车身结构,车门数(个),座位数(个),后排车门开启方式,油箱容积(L),货箱尺寸(mm)
1169,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1170,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1171,车身,1875.0,2950.0,1600,1620,210,-,SUV,5.0,7,,75,
1172,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1173,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1174,车身,2555.0,3366.0,-,-,-,-,货车,5.0,3,侧滑门,80,-
1175,车身,,,,,,,,,,,,
1176,车身,1938.0,3198.0,-,-,-,-,MPV,5.0,7,,-,
1177,车身,2552.0,3850.0,-,-,-,-,客车,5.0,14/15,-,80,-
1178,车身,2345.0,3100.0,-,-,-,-,客车,4.0,11,-,80,-
1179,车身,1736.0,2760.0,1570,1580,160,-,SUV,5.0,5,,-,
1180,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1181,车身,2345.0,3100.0,-,-,-,-,客车,5.0,11/12,-,80,-
1182,车身,1910.0,3285.0,1548,1553,145,1560,货车,4.0,2,侧滑门,-,-
1183,车身,1928.0,3198.0,-,-,-,-,MPV,5.0,7,,-,
1184,车身,1778.0,2800.0,1560,1570,130,-,MPV,5.0,6,,-,
1185,车身,2525.0,3760.0,1734,1756,180,2520,货车,5.0,3,侧滑门,-,-
1186,车身,,,,,,,,,,,,
1187,车身,2345.0,3100.0,-,-,-,-,客车,4.0,11/12,-,80,-
1188,车身,,,,,,,,,,,,
1189,车身,2345.0,3850.0,-,-,-,-,货车,4.0,3,侧滑门,80,-
1190,车身,2372.0,4175.0,-,-,-,-,客车,5.0,17/18,-,80,-
1191,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1192,车身,1875.0,2950.0,1600,1620,210,2285,SUV,5.0,7,,75,
1193,车身,1778.0,2800.0,1560,1570,130,-,MPV,5.0,6,,-,
1194,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1195,车身,2070.0,3100.0,-,-,-,-,货车,4.0,2/3,-,80,-
1196,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1197,车身,1778.0,2800.0,-,-,-,-,MPV,5.0,7,,50,
1198,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1199,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,5,,50,
1200,车身,2345.0,3100.0,-,-,-,-,货车,4.0,2/3,侧滑门,80,-
1201,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1202,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1203,车身,,,,,,,,,,,,
1204,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1205,车身,2070.0,3100.0,-,-,-,-,客车,5.0,5/6,侧滑门,80,-
1206,车身,2132.0,3100.0,-,-,-,-,客车,4.0,9,-,80,-
1207,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1208,车身,2105.0,2455.0,-,-,-,-,客车,4.0,10-12,侧滑门,-,-
1209,车身,1910.0,3285.0,1548,1553,145,1560,货车,4.0,2,侧滑门,-,-
